n, alg1_cmp, alg1_swaps, alg1_time, alg2_cmp, alg2_swaps, alg2_time
136,       5034,       4902,       17,       797,       419,       12
137,       5153,       5020,       18,       807,       429,       11
138,       5229,       5095,       18,       814,       412,       11
139,       5242,       5107,       18,       818,       414,       12
140,       5270,       5134,       18,       824,       428,       12
141,       5352,       5215,       19,       833,       427,       12
142,       5368,       5230,       18,       838,       428,       11
143,       5493,       5354,       18,       849,       429,       13
144,       5603,       5463,       19,       861,       438,       11
145,       5657,       5516,       19,       866,       441,       10
146,       5758,       5616,       19,       876,       455,       12
147,       5882,       5739,       20,       882,       455,       11
148,       5954,       5810,       21,       885,       461,       12
149,       6050,       5905,       21,       893,       467,       12
150,       6188,       6042,       21,       894,       466,       13
151,       6262,       6115,       21,       901,       469,       12
152,       6283,       6135,       21,       911,       479,       13
153,       6405,       6256,       22,       921,       486,       13
154,       6414,       6264,       21,       929,       470,       13
155,       6494,       6343,       22,       933,       477,       13
156,       6619,       6467,       22,       951,       504,       12
157,       6657,       6504,       22,       960,       506,       11
158,       6661,       6507,       22,       961,       485,       12
159,       6779,       6624,       23,       971,       497,       13
160,       6813,       6657,       23,       983,       516,       14
161,       6903,       6746,       24,       990,       522,       14
162,       7023,       6865,       24,       999,       533,       15
163,       7090,       6931,       24,       1006,       530,       15
164,       7132,       6972,       24,       1009,       540,       16
165,       7146,       6985,       28,       1017,       546,       13
166,       7155,       6993,       24,       1019,       524,       16
167,       7247,       7084,       24,       1029,       541,       13
168,       7351,       7187,       25,       1041,       554,       14
169,       7474,       7309,       29,       1044,       554,       14
170,       7598,       7432,       29,       1052,       561,       20
171,       7712,       7545,       30,       1056,       561,       15
172,       7883,       7716,       26,       1066,       550,       16
173,       7991,       7823,       27,       1077,       558,       15
174,       8012,       7843,       27,       1089,       574,       15
175,       8098,       7928,       27,       1097,       584,       16
176,       8255,       8084,       28,       1117,       572,       16
177,       8346,       8174,       28,       1124,       576,       15
178,       8435,       8262,       41,       1115,       571,       17
179,       8608,       8434,       28,       1130,       583,       14
180,       8681,       8506,       29,       1136,       584,       15
181,       8809,       8633,       29,       1137,       581,       15
182,       8954,       8777,       30,       1159,       611,       16
183,       9100,       8922,       30,       1162,       605,       17
184,       9137,       8958,       30,       1148,       590,       17
185,       9168,       8988,       30,       1158,       599,       16
186,       9297,       9116,       31,       1174,       604,       17
187,       9474,       9292,       31,       1177,       601,       15
188,       9607,       9424,       32,       1177,       606,       16
189,       9735,       9551,       32,       1191,       618,       16
190,       9785,       9600,       32,       1191,       598,       19
191,       9815,       9629,       32,       1202,       612,       16
192,       9870,       9683,       32,       1212,       625,       17
193,       9912,       9724,       33,       1219,       630,       17
194,       10071,       9882,       33,       1222,       630,       17
195,       10107,       9917,       33,       1231,       637,       16
196,       10211,       10020,       34,       1253,       655,       17
197,       10272,       10080,       34,       1260,       658,       16
198,       10343,       10150,       34,       1259,       643,       17
199,       10391,       10197,       35,       1260,       639,       19
200,       10395,       10200,       34,       1282,       662,       18
201,       10537,       10341,       35,       1292,       671,       32
202,       10646,       10449,       35,       1299,       682,       14
203,       10678,       10480,       36,       1300,       674,       13
204,       10790,       10591,       36,       1314,       686,       14
205,       10952,       10752,       36,       1312,       687,       11
206,       10983,       10782,       37,       1328,       679,       13
207,       11012,       10810,       36,       1332,       672,       12
208,       11160,       10957,       37,       1344,       685,       14
209,       11343,       11139,       38,       1350,       692,       13
210,       11491,       11286,       38,       1364,       706,       13
211,       11622,       11416,       39,       1372,       697,       13
212,       11806,       11599,       39,       1372,       696,       16
213,       11968,       11760,       40,       1383,       702,       13
214,       12040,       11831,       40,       1380,       686,       14
215,       12067,       11857,       40,       1399,       691,       3254
216,       12070,       11859,       42,       1408,       707,       13
217,       12083,       11871,       40,       1418,       712,       9
218,       12118,       11905,       40,       1416,       713,       10
219,       12152,       11938,       137,       1429,       727,       17
220,       12197,       11982,       103,       1428,       724,       12
221,       12396,       12180,       91,       1428,       720,       10
222,       12468,       12251,       113,       1443,       731,       11
223,       12591,       12373,       178,       1456,       735,       15
224,       12633,       12414,       151,       1476,       752,       13
225,       12673,       12453,       90,       1482,       758,       11
226,       12779,       12558,       83,       1492,       770,       12
227,       12926,       12704,       82,       1497,       781,       10
228,       12972,       12749,       99,       1504,       775,       11
229,       13096,       12872,       82,       1502,       770,       9
230,       13127,       12902,       82,       1529,       770,       11
231,       13205,       12979,       88,       1537,       782,       10
232,       13341,       13114,       113,       1538,       774,       13
233,       13456,       13228,       82,       1546,       781,       10
234,       13580,       13351,       130,       1552,       789,       20
235,       13739,       13509,       132,       1559,       806,       19
236,       13928,       13697,       151,       1571,       804,       22
237,       14014,       13782,       114,       1571,       796,       20
238,       14030,       13797,       87,       1589,       809,       17
239,       14197,       13963,       96,       1602,       820,       16
240,       14198,       13963,       86,       1601,       811,       17
241,       14363,       14127,       86,       1610,       818,       14
242,       14379,       14142,       83,       1615,       827,       15
243,       14610,       14372,       84,       1627,       840,       18
244,       14710,       14471,       84,       1630,       842,       16
245,       14947,       14707,       84,       1636,       847,       14
246,       15105,       14864,       85,       1651,       835,       17
247,       15307,       15065,       127,       1658,       836,       23
248,       15412,       15169,       132,       1660,       820,       24
249,       15477,       15233,       109,       1667,       827,       23
250,       15490,       15245,       103,       1681,       843,       22
251,       15503,       15257,       135,       1683,       842,       23
252,       15621,       15374,       91,       1703,       855,       24
253,       15769,       15521,       87,       1703,       864,       16
254,       15802,       15553,       86,       1712,       842,       19
255,       15933,       15683,       86,       1715,       847,       28
256,       16183,       15932,       96,       1734,       842,       20
257,       16408,       16156,       85,       1743,       850,       15
258,       16665,       16412,       82,       1740,       861,       16
259,       16796,       16542,       84,       1754,       865,       16
260,       16854,       16599,       85,       1748,       875,       17
261,       17113,       16857,       85,       1759,       882,       17
262,       17342,       17085,       12,       1776,       901,       17
263,       17597,       17339,       11,       1785,       908,       18
264,       17803,       17544,       11,       1796,       918,       19
265,       17876,       17616,       10,       1803,       923,       17
266,       17925,       17664,       10,       1804,       931,       17
267,       18047,       17785,       10,       1823,       927,       18
268,       18259,       17996,       11,       1816,       910,       19
269,       18350,       18086,       11,       1826,       919,       11
270,       18510,       18245,       11,       1847,       936,       17
271,       18687,       18421,       11,       1848,       938,       12
272,       18949,       18682,       11,       1868,       962,       14
273,       18988,       18720,       11,       1876,       965,       11
274,       19048,       18779,       11,       1879,       980,       12
275,       19146,       18876,       11,       1889,       979,       12
276,       19338,       19067,       11,       1895,       965,       13
277,       19443,       19171,       11,       1907,       969,       11
278,       19464,       19191,       11,       1905,       966,       13
279,       19523,       19249,       11,       1914,       963,       12
280,       19673,       19398,       11,       1919,       989,       13
281,       19787,       19511,       11,       1925,       996,       11
282,       20023,       19746,       12,       1947,       993,       13
283,       20118,       19840,       12,       1948,       990,       11
284,       20314,       20035,       12,       1956,       995,       14
285,       20320,       20040,       12,       1965,       995,       12
286,       20573,       20292,       12,       1975,       1011,       13
287,       20582,       20300,       12,       1989,       1001,       12
288,       20603,       20320,       12,       1992,       1001,       15
289,       20724,       20440,       12,       2001,       1011,       12
290,       20929,       20644,       12,       2013,       1023,       16
291,       21152,       20866,       12,       2019,       1033,       18
292,       21410,       21123,       12,       2032,       1038,       20
293,       21682,       21394,       12,       2036,       1039,       18
294,       21843,       21554,       13,       2045,       1045,       23
295,       21889,       21599,       13,       2067,       1061,       19
296,       22050,       21759,       13,       2050,       1050,       24
297,       22113,       21821,       13,       2061,       1052,       19
298,       22281,       21988,       13,       2070,       1060,       22
299,       22519,       22225,       13,       2082,       1069,       19
300,       22660,       22365,       13,       2096,       1081,       22
301,       22837,       22541,       13,       2099,       1095,       27
302,       23000,       22703,       13,       2105,       1088,       23
303,       23234,       22936,       13,       2111,       1098,       19
304,       23500,       23201,       13,       2118,       1111,       23
305,       23716,       23416,       13,       2124,       1110,       20
306,       23835,       23534,       14,       2146,       1123,       21
307,       23868,       23566,       14,       2147,       1125,       20
308,       23956,       23653,       14,       2166,       1106,       21
309,       24159,       23855,       14,       2171,       1109,       18
310,       24283,       23978,       14,       2167,       1118,       21
311,       24463,       24157,       14,       2182,       1133,       21
312,       24640,       24333,       14,       2195,       1154,       22
313,       24713,       24405,       14,       2207,       1158,       18
314,       24913,       24604,       14,       2211,       1156,       19
315,       25215,       24905,       14,       2222,       1153,       21
316,       25412,       25101,       15,       2231,       1151,       21
317,       25450,       25138,       14,       2235,       1149,       22
318,       25563,       25250,       15,       2247,       1153,       23
319,       25664,       25350,       15,       2262,       1165,       21
320,       25723,       25408,       15,       2264,       1151,       16
321,       25726,       25410,       15,       2273,       1153,       13
322,       25838,       25521,       15,       2284,       1177,       15
323,       26112,       25794,       15,       2293,       1183,       14
324,       26117,       25798,       25,       2307,       1207,       16
325,       26323,       26003,       15,       2320,       1225,       13
326,       26505,       26184,       15,       2323,       1203,       15
327,       26575,       26253,       15,       2328,       1213,       14
328,       26701,       26378,       15,       2335,       1217,       16
329,       26782,       26458,       15,       2344,       1222,       14
330,       26802,       26477,       15,       2345,       1215,       15
331,       27120,       26794,       15,       2360,       1232,       14
332,       27125,       26798,       16,       2350,       1188,       16
333,       27374,       27046,       16,       2363,       1201,       15
334,       27404,       27075,       16,       2384,       1237,       16
335,       27492,       27162,       16,       2390,       1233,       15
336,       27510,       27179,       16,       2409,       1249,       17
337,       27759,       27427,       16,       2421,       1262,       14
338,       27898,       27565,       16,       2421,       1256,       16
339,       27964,       27630,       16,       2431,       1258,       15
340,       28161,       27826,       16,       2437,       1262,       17
341,       28339,       28003,       16,       2439,       1254,       14
342,       28539,       28202,       16,       2440,       1280,       16
343,       28844,       28506,       16,       2460,       1278,       15
344,       28864,       28525,       17,       2476,       1278,       18
345,       28870,       28530,       17,       2486,       1284,       14
346,       29148,       28807,       17,       2492,       1289,       16
347,       29470,       29128,       17,       2504,       1289,       16
348,       29595,       29252,       17,       2508,       1303,       17
349,       29832,       29488,       17,       2515,       1304,       15
350,       30163,       29818,       17,       2522,       1299,       17
351,       30196,       29850,       17,       2543,       1315,       15
352,       30502,       30155,       17,       2550,       1285,       18
353,       30661,       30313,       17,       2562,       1295,       15
354,       30999,       30650,       18,       2574,       1316,       22
355,       31235,       30885,       18,       2575,       1319,       23
356,       31469,       31118,       18,       2572,       1308,       25
357,       31496,       31144,       18,       2585,       1311,       25
358,       31581,       31228,       18,       2596,       1328,       25
359,       31903,       31549,       18,       2613,       1341,       28
360,       31975,       31620,       18,       2614,       1346,       26
361,       32202,       31846,       18,       2621,       1354,       22
362,       32492,       32135,       18,       2624,       1358,       24
363,       32704,       32346,       19,       2623,       1348,       25
364,       33028,       32669,       19,       2667,       1394,       36
365,       33065,       32705,       19,       2670,       1388,       27
366,       33324,       32963,       19,       2671,       1384,       27
367,       33516,       33154,       19,       2685,       1386,       30
368,       33529,       33166,       19,       2671,       1373,       28
369,       33717,       33353,       19,       2680,       1372,       27
370,       33913,       33548,       19,       2684,       1374,       31
371,       33997,       33631,       19,       2693,       1367,       25
372,       34205,       33838,       20,       2708,       1367,       27
373,       34466,       34098,       20,       2720,       1389,       33
374,       34522,       34153,       20,       2737,       1399,       28
375,       34531,       34161,       20,       2730,       1393,       27
376,       34589,       34218,       20,       2734,       1429,       30
377,       34803,       34431,       20,       2746,       1433,       23
378,       35062,       34689,       20,       2768,       1442,       25
379,       35257,       34883,       20,       2767,       1443,       17
380,       35567,       35192,       20,       2775,       1403,       19
381,       35938,       35562,       20,       2774,       1389,       16
382,       36039,       35662,       21,       2792,       1426,       19
383,       36421,       36043,       21,       2805,       1433,       18
384,       36746,       36367,       21,       2803,       1422,       20
385,       36972,       36592,       21,       2812,       1430,       16
386,       37178,       36797,       21,       2822,       1452,       18
387,       37310,       36928,       21,       2836,       1462,       17
388,       37429,       37046,       21,       2836,       1435,       19
389,       37507,       37123,       21,       2841,       1440,       16
390,       37838,       37453,       22,       2859,       1452,       23
391,       37984,       37598,       22,       2865,       1467,       17
392,       38182,       37795,       22,       2877,       1486,       20
393,       38499,       38111,       22,       2886,       1488,       17
394,       38817,       38428,       22,       2912,       1516,       18
395,       39153,       38763,       22,       2910,       1499,       17
396,       39259,       38868,       22,       2917,       1488,       20
397,       39562,       39170,       23,       2932,       1513,       17
398,       39955,       39562,       23,       2925,       1495,       20
399,       40252,       39858,       23,       2924,       1500,       18
400,       40513,       40118,       23,       2966,       1538,       22
401,       40634,       40238,       23,       2974,       1543,       17
402,       40717,       40320,       23,       2961,       1514,       19
403,       40951,       40553,       23,       2969,       1524,       18
404,       41354,       40956,       23,       2986,       1563,       19
405,       41362,       40963,       23,       3003,       1569,       17
406,       41431,       41031,       23,       3011,       1561,       19
407,       41509,       41108,       23,       3007,       1555,       18
408,       41828,       41426,       24,       3025,       1568,       20
409,       42131,       41728,       24,       3035,       1568,       18
410,       42475,       42071,       37,       3031,       1555,       20
411,       42871,       42466,       24,       3042,       1576,       18
412,       43063,       42657,       24,       3062,       1570,       20
413,       43172,       42765,       24,       3082,       1589,       18
414,       43199,       42791,       24,       3067,       1563,       20
415,       43481,       43072,       24,       3076,       1561,       18
416,       43544,       43134,       24,       3093,       1583,       21
417,       43648,       43237,       24,       3101,       1592,       18
418,       43872,       43460,       25,       3110,       1593,       19
419,       43979,       43566,       25,       3126,       1610,       18
420,       44099,       43685,       25,       3136,       1637,       21
421,       44243,       43828,       25,       3143,       1638,       18
422,       44443,       44027,       25,       3155,       1631,       20
423,       44572,       44155,       25,       3157,       1630,       19
424,       44961,       44543,       25,       3163,       1629,       22
425,       45218,       44799,       25,       3175,       1642,       18
426,       45420,       45000,       25,       3185,       1643,       20
427,       45482,       45061,       25,       3194,       1650,       19
428,       45531,       45109,       26,       3192,       1612,       21
429,       45699,       45276,       26,       3205,       1619,       19
430,       45713,       45289,       26,       3208,       1603,       21
431,       45755,       45330,       26,       3218,       1624,       19
432,       45808,       45382,       26,       3242,       1647,       22
433,       46132,       45705,       26,       3253,       1657,       18
434,       46327,       45899,       26,       3260,       1649,       20
435,       46383,       45954,       26,       3266,       1660,       19
436,       46533,       46103,       26,       3271,       1679,       22
437,       46714,       46283,       26,       3281,       1673,       19
438,       46827,       46395,       26,       3295,       1671,       21
439,       46950,       46517,       26,       3293,       1692,       20
440,       46984,       46550,       26,       3306,       1701,       23
441,       47226,       46791,       27,       3316,       1702,       22
442,       47280,       46844,       27,       3307,       1677,       22
443,       47294,       46857,       27,       3310,       1692,       19
444,       47481,       47043,       27,       3332,       1703,       23
445,       47907,       47468,       27,       3331,       1700,       19
446,       48298,       47858,       27,       3352,       1705,       22
447,       48726,       48285,       27,       3368,       1719,       21
448,       49080,       48638,       27,       3393,       1727,       24
449,       49407,       48964,       28,       3400,       1734,       19
450,       49779,       49335,       28,       3402,       1729,       21
451,       50229,       49784,       28,       3402,       1754,       20
452,       50238,       49792,       28,       3426,       1754,       22
453,       50362,       49915,       28,       3427,       1760,       20
454,       50539,       50091,       28,       3426,       1772,       21
455,       50705,       50256,       28,       3445,       1796,       21
456,       51056,       50606,       29,       3462,       1789,       23
457,       51376,       50925,       29,       3465,       1790,       20
458,       51488,       51036,       29,       3471,       1789,       22
459,       51930,       51477,       29,       3476,       1790,       21
460,       52211,       51757,       29,       3507,       1783,       23
461,       52312,       51857,       29,       3513,       1786,       21
462,       52337,       51881,       29,       3506,       1763,       22
463,       52799,       52343,       29,       3521,       1774,       22
464,       53153,       52696,       30,       3528,       1778,       24
465,       53192,       52734,       30,       3535,       1783,       20
466,       53218,       52759,       30,       3537,       1799,       22
467,       53227,       52767,       30,       3549,       1802,       21
468,       53438,       52977,       30,       3559,       1804,       24
469,       53485,       53023,       30,       3562,       1813,       21
470,       53747,       53284,       30,       3584,       1836,       24
471,       54169,       53705,       31,       3585,       1844,       22
472,       54200,       53735,       30,       3613,       1846,       25
473,       54556,       54090,       31,       3618,       1845,       21
474,       54867,       54400,       31,       3601,       1814,       22
475,       55113,       54645,       31,       3624,       1850,       21
476,       55459,       54990,       31,       3633,       1845,       25
477,       55930,       55460,       31,       3640,       1851,       22
478,       55935,       55464,       31,       3658,       1869,       24
479,       56222,       55750,       32,       3679,       1882,       22
480,       56383,       55910,       32,       3671,       1850,       26
481,       56832,       56358,       32,       3678,       1859,       21
482,       57118,       56643,       32,       3693,       1878,       23
483,       57196,       56720,       32,       3706,       1882,       22
484,       57220,       56743,       32,       3693,       1873,       25
485,       57395,       56917,       32,       3702,       1886,       21
486,       57517,       57038,       32,       3721,       1897,       24
487,       57601,       57121,       32,       3737,       1923,       22
488,       57607,       57126,       32,       3733,       1911,       26
489,       57824,       57342,       32,       3745,       1924,       21
490,       57908,       57425,       32,       3749,       1909,       23
491,       58281,       57797,       33,       3774,       1927,       22
492,       58762,       58277,       33,       3774,       1900,       25
493,       59007,       58521,       33,       3781,       1900,       22
494,       59048,       58561,       33,       3788,       1921,       24
495,       59234,       58746,       33,       3808,       1926,       24
496,       59578,       59089,       33,       3811,       1922,       26
497,       59838,       59348,       34,       3820,       1934,       25
498,       60039,       59548,       34,       3832,       1931,       24
499,       60278,       59786,       34,       3841,       1939,       23
500,       60441,       59948,       34,       3855,       1940,       25
501,       60642,       60148,       34,       3863,       1954,       22
502,       61134,       60639,       34,       3858,       1919,       25
503,       61179,       60683,       34,       3868,       1925,       24
504,       61482,       60985,       34,       3903,       1961,       26
505,       61583,       61085,       35,       3906,       1971,       22
506,       61942,       61443,       35,       3910,       1990,       24
507,       62295,       61795,       35,       3905,       1982,       23
508,       62685,       62184,       35,       3924,       1948,       35
509,       63023,       62521,       35,       3928,       1960,       35
510,       63265,       62762,       35,       3939,       1954,       36
511,       63291,       62787,       35,       3935,       1954,       38
512,       63644,       63139,       36,       3957,       1940,       43
513,       64116,       63610,       36,       3967,       1950,       34
514,       64133,       63626,       36,       3979,       1958,       39
515,       64411,       63903,       36,       3997,       1973,       36
516,       64865,       64356,       36,       3991,       1994,       39
517,       65286,       64776,       36,       4008,       1995,       36
518,       65525,       65014,       37,       4018,       2003,       38
519,       65633,       65121,       37,       4024,       1997,       35
520,       66017,       65504,       37,       4015,       2012,       28
521,       66514,       66000,       37,       4028,       2025,       23
522,       66648,       66133,       37,       4042,       2030,       26
523,       67065,       66549,       37,       4058,       2042,       25
524,       67150,       66633,       37,       4070,       2054,       27
525,       67218,       66700,       38,       4086,       2074,       24
526,       67512,       66993,       38,       4087,       2077,       27
527,       67993,       67473,       38,       4100,       2086,       26
528,       68223,       67702,       38,       4103,       2079,       29
529,       68454,       67932,       38,       4116,       2091,       24
530,       68637,       68114,       43,       4132,       2113,       28
531,       69139,       68615,       45,       4132,       2103,       29
532,       69502,       68977,       39,       4135,       2115,       28
533,       69919,       69393,       39,       4146,       2118,       24
534,       70080,       69553,       39,       4160,       2114,       28
535,       70591,       70063,       39,       4176,       2121,       26
536,       70701,       70172,       39,       4162,       2113,       29
537,       70708,       70178,       39,       4173,       2103,       25
538,       70864,       70333,       39,       4179,       2114,       26
539,       71311,       70779,       40,       4204,       2128,       26
540,       71551,       71018,       40,       4225,       2139,       28
541,       71690,       71156,       40,       4236,       2155,       26
542,       72072,       71537,       40,       4244,       2154,       28
543,       72551,       72015,       41,       4244,       2160,       27
544,       72660,       72123,       41,       4273,       2191,       30
545,       73016,       72478,       41,       4283,       2200,       24
546,       73377,       72838,       41,       4272,       2169,       30
547,       73392,       72852,       41,       4293,       2169,       25
548,       73399,       72858,       41,       4299,       2206,       28
549,       73823,       73281,       41,       4307,       2202,       26
550,       74018,       73475,       41,       4323,       2211,       27
551,       74291,       73747,       42,       4328,       2225,       27
552,       74371,       73826,       41,       4334,       2200,       30
553,       74564,       74018,       42,       4342,       2203,       25
554,       74914,       74367,       42,       4348,       2206,       28
555,       75396,       74848,       42,       4363,       2218,       26
556,       75576,       75027,       42,       4378,       2236,       29
557,       76119,       75569,       42,       4380,       2226,       26
558,       76129,       75578,       42,       4371,       2198,       29
559,       76681,       76129,       43,       4401,       2215,       27
560,       76863,       76310,       43,       4389,       2241,       30
561,       77067,       76513,       43,       4403,       2245,       25
562,       77201,       76646,       43,       4407,       2264,       28
563,       77480,       76924,       43,       4430,       2292,       26
564,       77896,       77339,       43,       4431,       2253,       29
565,       78429,       77871,       44,       4444,       2259,       26
566,       78465,       77906,       44,       4462,       2270,       28
567,       78692,       78132,       44,       4470,       2274,       27
568,       78735,       78174,       44,       4483,       2289,       31
569,       79248,       78686,       44,       4491,       2302,       26
570,       79483,       78920,       44,       4485,       2293,       29
571,       79918,       79354,       44,       4506,       2293,       27
572,       80441,       79876,       45,       4529,       2332,       30
573,       80799,       80233,       45,       4534,       2327,       27
574,       81321,       80754,       45,       4556,       2326,       29
575,       81779,       81211,       45,       4554,       2315,       27
576,       82153,       81584,       45,       4553,       2298,       31
577,       82670,       82100,       46,       4564,       2310,       26
578,       83164,       82593,       46,       4572,       2324,       29
579,       83188,       82616,       46,       4579,       2328,       27
580,       83543,       82970,       46,       4595,       2328,       29
581,       83801,       83227,       47,       4602,       2330,       26
582,       84361,       83786,       47,       4621,       2364,       30
583,       84648,       84072,       47,       4616,       2369,       28
584,       84660,       84083,       47,       4647,       2380,       32
585,       84829,       84251,       47,       4651,       2380,       27
586,       85383,       84804,       47,       4656,       2394,       29
587,       85563,       84983,       47,       4669,       2396,       28
588,       85869,       85288,       47,       4674,       2415,       31
589,       85964,       85382,       48,       4692,       2407,       28
590,       86545,       85962,       48,       4710,       2415,       30
591,       86889,       86305,       48,       4723,       2418,       31
592,       87434,       86849,       48,       4705,       2417,       32
593,       88020,       87434,       49,       4712,       2429,       27
594,       88607,       88020,       49,       4715,       2409,       29
595,       88848,       88260,       69,       4733,       2420,       46
596,       89092,       88503,       78,       4738,       2435,       51
597,       89542,       88952,       92,       4752,       2447,       48
598,       89606,       89015,       68,       4772,       2453,       31
599,       90146,       89554,       50,       4771,       2446,       29
600,       90335,       89742,       50,       4789,       2447,       32
601,       90453,       89859,       50,       4797,       2456,       27
602,       91004,       90409,       52,       4805,       2488,       32
