n, alg1_cmp, alg1_swaps, alg1_time, alg2_cmp, alg2_swaps, alg2_time
0,       0,       0,       0,       0,       0,       0
1,       0,       0,       0,       0,       0,       0
2,       1,       0,       0,       1,       0,       2
3,       3,       1,       1,       2,       1,       2
4,       4,       1,       0,       5,       1,       1
5,       8,       4,       0,       8,       4,       4
6,       11,       6,       1,       10,       5,       3
7,       16,       10,       1,       13,       8,       3
8,       20,       13,       1,       16,       7,       3
9,       26,       18,       1,       19,       10,       3
10,       28,       19,       1,       25,       13,       4
11,       30,       20,       2,       27,       13,       4
12,       33,       22,       2,       28,       13,       6
13,       34,       22,       2,       32,       13,       7
14,       42,       29,       68,       38,       19,       8
15,       51,       37,       3,       42,       22,       7
16,       62,       47,       4,       46,       22,       7
17,       78,       62,       5,       51,       27,       9
18,       91,       74,       21,       53,       30,       96
19,       96,       78,       6,       59,       31,       9
20,       110,       91,       11,       66,       37,       30
21,       128,       108,       8,       72,       42,       11
22,       131,       110,       8,       75,       38,       11
23,       132,       110,       9,       76,       38,       133
24,       154,       131,       17,       80,       42,       14
25,       176,       152,       11,       84,       45,       13
26,       189,       164,       12,       92,       42,       16
27,       213,       187,       14,       95,       44,       13
28,       235,       208,       16,       104,       54,       15
29,       250,       222,       16,       108,       57,       34
30,       266,       237,       18,       113,       57,       16
31,       275,       245,       18,       117,       56,       19
32,       286,       255,       19,       120,       56,       17
33,       312,       280,       20,       126,       62,       34
34,       342,       309,       44,       133,       71,       14
35,       373,       339,       34,       136,       73,       16
36,       385,       350,       20,       145,       79,       6
37,       414,       378,       22,       147,       81,       2
38,       437,       400,       23,       152,       81,       4
39,       457,       419,       24,       160,       86,       4
40,       482,       443,       25,       169,       98,       3
41,       513,       473,       27,       175,       103,       4
42,       535,       494,       31,       178,       97,       4
43,       573,       531,       29,       183,       102,       3
44,       580,       537,       31,       193,       101,       4
45,       618,       574,       31,       199,       102,       4
46,       622,       577,       32,       197,       99,       7
47,       656,       610,       33,       200,       102,       4
48,       692,       645,       35,       206,       106,       4
49,       720,       672,       42,       212,       110,       4
50,       735,       686,       36,       219,       116,       5
51,       776,       726,       38,       229,       122,       5
52,       789,       738,       43,       232,       113,       7
53,       791,       739,       48,       236,       109,       4
54,       832,       779,       40,       244,       118,       4
55,       863,       809,       42,       248,       124,       3
56,       882,       827,       43,       263,       138,       3
57,       896,       840,       43,       267,       139,       5
58,       906,       849,       43,       267,       137,       4
59,       947,       889,       46,       280,       142,       6
60,       960,       901,       50,       287,       149,       5
61,       1020,       961,       50,       289,       148,       5
62,       1042,       982,       53,       297,       142,       24
63,       1058,       997,       52,       303,       151,       4
64,       1060,       998,       51,       309,       142,       4
65,       1094,       1031,       53,       316,       149,       4
66,       1104,       1040,       54,       318,       157,       5
67,       1130,       1065,       55,       325,       161,       4
68,       1183,       1117,       57,       335,       175,       24
69,       1184,       1117,       57,       339,       170,       5
70,       1225,       1157,       59,       343,       178,       5
71,       1255,       1186,       60,       350,       175,       6
72,       1305,       1235,       63,       361,       184,       5
73,       1375,       1304,       66,       368,       192,       4
74,       1406,       1334,       68,       370,       189,       5
75,       1471,       1398,       71,       373,       195,       6
76,       1539,       1465,       75,       382,       197,       5
77,       1570,       1495,       76,       390,       199,       5
78,       1608,       1532,       78,       397,       207,       7
79,       1650,       1573,       80,       402,       208,       5
80,       1707,       1629,       82,       413,       224,       21
81,       1762,       1683,       85,       418,       228,       6
82,       1808,       1728,       87,       423,       236,       6
83,       1852,       1771,       90,       431,       240,       7
84,       1929,       1847,       94,       436,       238,       6
85,       1976,       1893,       95,       439,       236,       7
86,       1985,       1901,       96,       452,       234,       6
87,       2065,       1980,       112,       464,       253,       7
88,       2115,       2029,       103,       473,       240,       7
89,       2169,       2082,       109,       477,       243,       7
90,       2223,       2135,       113,       484,       249,       6
91,       2267,       2178,       46,       492,       256,       6
92,       2326,       2236,       35,       487,       243,       9
93,       2333,       2242,       22,       492,       247,       6
94,       2426,       2335,       56,       497,       251,       8
95,       2504,       2412,       39,       504,       252,       7
96,       2518,       2425,       9,       509,       257,       7
97,       2576,       2482,       9,       516,       263,       7
98,       2578,       2483,       9,       524,       266,       8
99,       2633,       2537,       9,       535,       270,       7
100,       2660,       2563,       9,       544,       282,       7
101,       2740,       2642,       9,       550,       289,       8
102,       2808,       2709,       9,       559,       296,       8
103,       2812,       2712,       9,       564,       290,       8
104,       2915,       2815,       23,       574,       289,       8
105,       2928,       2827,       10,       582,       292,       6
106,       3010,       2908,       10,       581,       283,       8
107,       3015,       2912,       10,       585,       280,       9
108,       3020,       2916,       11,       597,       298,       9
109,       3115,       3010,       11,       602,       299,       9
110,       3127,       3021,       10,       606,       309,       9
111,       3217,       3110,       11,       608,       311,       9
112,       3246,       3138,       11,       629,       332,       9
113,       3348,       3239,       11,       637,       340,       8
114,       3409,       3299,       12,       640,       335,       10
115,       3513,       3402,       12,       656,       332,       9
116,       3566,       3454,       12,       657,       337,       11
117,       3671,       3558,       13,       664,       344,       9
118,       3686,       3572,       12,       671,       341,       10
119,       3738,       3623,       13,       684,       353,       9
120,       3833,       3717,       13,       686,       354,       9
121,       3883,       3766,       13,       693,       362,       9
122,       3908,       3790,       13,       697,       360,       10
123,       3915,       3796,       13,       708,       369,       12
124,       4000,       3880,       13,       713,       354,       12
125,       4078,       3957,       14,       720,       364,       8
126,       4130,       4008,       14,       729,       368,       11
127,       4193,       4070,       14,       734,       368,       11
128,       4307,       4183,       14,       742,       362,       10
129,       4385,       4260,       15,       750,       369,       9
130,       4498,       4372,       15,       752,       381,       11
131,       4617,       4490,       16,       759,       381,       11
132,       4729,       4601,       16,       764,       391,       11
133,       4836,       4707,       16,       774,       401,       10
134,       4861,       4731,       17,       778,       395,       10
135,       4942,       4811,       16,       790,       405,       12
